High,Low,Close
3635.1,3634.43,3635.01
3635.06,3634.29,3634.57
3634.22,3633.34,3634.05
3635.08,3634.16,3634.97
3635.06,3633.98,3634.14
3634.35,3633.53,3634.19
3634.95,3633.67,3634.95
3634.96,3633.58,3634.18
3634.27,3633.45,3634.09
3634.47,3633.81,3634.08
3634.97,3634.17,3634.69
3635.62,3634.58,3634.67
3635.11,3634.01,3634.16
3634.57,3633.84,3634.57
3634.71,3634.11,3634.34
3634.5,3633.92,3634.28
3637.0,3634.22,3637.0
3637.26,3635.88,3636.98
3637.14,3636.53,3637.05
3637.45,3635.24,3635.24
3635.14,3633.83,3633.83
3633.77,3631.98,3632.96
3634.11,3632.97,3633.97
3634.12,3633.23,3633.98
3635.4,3633.8,3635.24
3635.99,3634.9,3635.71
3636.73,3635.76,3636.3
3636.85,3635.83,3635.98
3636.39,3635.73,3635.81
3636.33,3635.06,3635.32
3635.8,3635.05,3635.79
3636.23,3634.47,3634.73
3634.95,3634.34,3634.81
3635.0,3634.06,3634.87
3634.89,3634.04,3634.23
3635.8,3633.27,3633.27
3633.71,3629.56,3629.56
3633.71,3629.87,3633.71
3633.72,3631.07,3631.97
3632.19,3629.59,3629.68
3630.25,3628.56,3630.25
3630.16,3623.29,3623.54
3625.34,3620.97,3621.58
3621.73,3616.88,3617.21
3621.09,3615.81,3621.09
3621.18,3615.59,3615.59
3615.45,3609.71,3611.2
3611.84,3604.16,3604.84
3604.6,3601.84,3602.59
3608.8,3602.93,3608.31
3610.76,3608.07,3610.76
3613.12,3610.61,3612.59
3613.7,3609.2,3610.05
3611.56,3608.14,3608.14
3608.09,3603.82,3608.09
3609.01,3606.02,3607.36
3610.81,3607.29,3610.62
3610.71,3608.88,3609.13
3614.34,3608.92,3614.34
3643.02,3615.23,3643.02
3650.67,3643.1,3649.53
3649.95,3648.23,3648.57
3649.06,3643.17,3643.17
3644.65,3641.84,3643.55
3645.55,3642.91,3645.55
3646.37,3643.83,3646.03
3648.08,3646.24,3647.15
3646.97,3644.89,3644.89
3644.93,3640.14,3640.5
3645.12,3640.46,3644.75
3645.07,3643.78,3644.73
3643.96,3641.03,3641.03
3642.59,3640.81,3641.63
3642.65,3641.19,3642.17
3644.91,3642.17,3644.36
3645.63,3644.42,3644.88
3644.63,3633.5,3633.5
3640.62,3631.82,3638.01
3638.32,3629.17,3634.36
3639.19,3633.36,3639.19
3641.15,3638.17,3640.68
3641.54,3638.83,3639.21
3639.25,3637.69,3637.69
3638.87,3636.17,3638.78
3640.32,3638.68,3640.32
3642.91,3640.26,3642.52
3642.9,3640.85,3641.09
3642.29,3641.28,3642.01
3643.98,3641.49,3643.75
3643.92,3642.68,3642.98
3643.35,3642.51,3642.51
3643.99,3642.7,3643.99
3644.44,3643.5,3644.19
3644.29,3642.54,3642.81
3643.22,3641.33,3641.54
3642.65,3640.57,3641.78
3642.1,3641.49,3641.96
3642.71,3641.55,3642.5
3643.05,3642.23,3642.23
3642.95,3642.28,3642.56
3643.88,3642.31,3643.15
3643.18,3641.9,3642.21
3642.65,3640.91,3640.97
3641.13,3640.12,3640.12
3640.68,3639.7,3640.65
